Date,Open,High,Low,Close,Volume,Adj Close
2015-03-18,8600.0,8750.0,7100.0,7100.0,406700.0,7100.0
2015-03-19,6360.0,6530.0,5610.0,5730.0,272800.0,5730.0
2015-03-20,5690.0,6730.0,5530.0,6150.0,373800.0,6150.0
2015-03-23,6280.0,7180.0,6190.0,7180.0,671400.0,7180.0
2015-03-24,6880.0,6960.0,5700.0,5710.0,297400.0,5710.0
2015-03-25,5780.0,5930.0,5100.0,5310.0,137800.0,5310.0
2015-03-26,5290.0,5530.0,5060.0,5110.0,70200.0,5110.0
2015-03-27,5030.0,5540.0,4810.0,5180.0,160600.0,5180.0
2015-03-30,5310.0,5670.0,5250.0,5520.0,111900.0,5520.0
2015-03-31,5580.0,5590.0,5250.0,5280.0,58600.0,5280.0
2015-04-01,5200.0,5300.0,4950.0,5150.0,52000.0,5150.0
2015-04-02,5240.0,5350.0,5050.0,5100.0,33100.0,5100.0
2015-04-03,5010.0,5180.0,4965.0,5020.0,22300.0,5020.0
2015-04-06,4970.0,5090.0,4850.0,4885.0,20200.0,4885.0
2015-04-07,4860.0,4945.0,4850.0,4850.0,14500.0,4850.0
2015-04-08,4990.0,5050.0,4850.0,4855.0,24300.0,4855.0
2015-04-09,4925.0,5050.0,4900.0,5030.0,19400.0,5030.0
2015-04-10,5040.0,5040.0,4900.0,4915.0,14400.0,4915.0
2015-04-13,4940.0,5130.0,4905.0,5080.0,20600.0,5080.0
2015-04-14,5040.0,5430.0,4990.0,5430.0,53000.0,5430.0
2015-04-15,5330.0,5530.0,5110.0,5500.0,62500.0,5500.0
2015-04-16,5600.0,5660.0,5340.0,5510.0,61500.0,5510.0
2015-04-17,5470.0,5550.0,5090.0,5130.0,37500.0,5130.0
2015-04-20,5070.0,5120.0,4980.0,5040.0,8800.0,5040.0
2015-04-21,5070.0,5330.0,5030.0,5050.0,12800.0,5050.0
2015-04-22,5250.0,5450.0,5200.0,5380.0,54800.0,5380.0
2015-04-23,5400.0,6240.0,5390.0,5610.0,246100.0,5610.0
2015-04-24,5510.0,5650.0,5360.0,5510.0,58900.0,5510.0
2015-04-27,5570.0,6150.0,5510.0,6000.0,72000.0,6000.0
2015-04-28,6200.0,6600.0,5790.0,5820.0,167000.0,5820.0
2015-04-29,,,,,,
2015-04-30,5580.0,5680.0,5280.0,5470.0,48000.0,5470.0
2015-05-01,5370.0,5830.0,5300.0,5690.0,33300.0,5690.0
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,5510.0,5720.0,5400.0,5720.0,13500.0,5720.0
2015-05-08,5750.0,5750.0,5500.0,5570.0,13400.0,5570.0
2015-05-11,5170.0,5280.0,5100.0,5110.0,35000.0,5110.0
2015-05-12,5100.0,5140.0,4900.0,5060.0,29300.0,5060.0
2015-05-13,5050.0,5050.0,4900.0,4900.0,15100.0,4900.0
2015-05-14,4920.0,4920.0,4600.0,4600.0,35600.0,4600.0
2015-05-15,4630.0,4640.0,4450.0,4570.0,18400.0,4570.0
2015-05-18,4520.0,4575.0,4475.0,4545.0,5600.0,4545.0
2015-05-19,4475.0,4835.0,4420.0,4790.0,16500.0,4790.0
2015-05-20,4720.0,4780.0,4700.0,4720.0,5500.0,4720.0
2015-05-21,4670.0,4670.0,4570.0,4635.0,4800.0,4635.0
2015-05-22,4570.0,4620.0,4570.0,4620.0,2300.0,4620.0
2015-05-25,4620.0,4960.0,4620.0,4875.0,22100.0,4875.0
2015-05-26,4945.0,5010.0,4775.0,4775.0,18100.0,4775.0
2015-05-27,4780.0,5080.0,4775.0,5050.0,29400.0,5050.0
2015-05-28,5140.0,5220.0,4905.0,4905.0,25700.0,4905.0
2015-05-29,4880.0,5010.0,4790.0,4905.0,14100.0,4905.0
2015-06-01,5190.0,5610.0,5150.0,5610.0,33300.0,5610.0
2015-06-02,6010.0,6110.0,5320.0,5480.0,194100.0,5480.0
2015-06-03,5430.0,6480.0,5430.0,6230.0,385500.0,6230.0
2015-06-04,6300.0,7230.0,6300.0,7230.0,929500.0,7230.0
2015-06-05,7380.0,8170.0,6450.0,6490.0,1699300.0,6490.0
2015-06-08,6690.0,7070.0,5920.0,5920.0,292700.0,5920.0
2015-06-09,6020.0,6130.0,5550.0,5710.0,151900.0,5710.0
2015-06-10,5710.0,5900.0,5530.0,5540.0,47200.0,5540.0
2015-06-11,5610.0,5800.0,5520.0,5600.0,51800.0,5600.0
